src_img_name,mask_id,left_x,right_x,top_y,bottom_y,cell_id_cp
r02c02f01p01-ch4sk1fk1fl1.tiff,7c06eb5e-78ab-4d46-89ab-0ce12a17ddf7,4,23,365,376,1
r02c02f01p01-ch4sk1fk1fl1.tiff,363564ce-e7df-48e8-9c1a-89585a9edb14,11,24,203,214,4
r02c02f01p01-ch4sk1fk1fl1.tiff,699c5a49-003a-431f-a17c-bcd540e2ec63,23,36,33,50,6
r02c02f01p01-ch4sk1fk1fl1.tiff,572e1c9e-3206-4763-b03a-5361777925a4,26,43,395,414,7
r02c02f01p01-ch4sk1fk1fl1.tiff,2bc31376-ff76-4731-bf26-c81635bed2e7,24,43,431,446,10
r02c02f01p01-ch4sk1fk1fl1.tiff,1910253e-1a38-44d5-ac8a-3051e89fc52b,31,45,150,161,11
r02c02f01p01-ch4sk1fk1fl1.tiff,7c757fbc-cf76-479f-8dd0-068babafbe53,35,50,78,93,12
r02c02f01p01-ch4sk1fk1fl1.tiff,cd050d31-a0f3-4b99-867a-825fa8f72661,36,52,368,387,14
r02c02f01p01-ch4sk1fk1fl1.tiff,1afc30d3-6869-4ddd-a1d1-f380b774ad13,34,52,464,482,15
r02c02f01p01-ch4sk1fk1fl1.tiff,cbc4ccfc-2cf9-44fd-ae0f-5af009b02d8a,44,61,39,55,17
r02c02f01p01-ch4sk1fk1fl1.tiff,0a90aafd-5d00-413e-90f9-6da50af8b7c0,45,63,56,69,18
r02c02f01p01-ch4sk1fk1fl1.tiff,49155fd0-5449-4675-afb0-013d4f54f690,60,73,293,307,24
r02c02f01p01-ch4sk1fk1fl1.tiff,bd8314c1-470b-4c12-8f84-a126801d699b,54,69,216,235,25
r02c02f01p01-ch4sk1fk1fl1.tiff,8bc9a52f-7460-4289-872e-8038e7a3962c,68,84,8,23,29
r02c02f01p01-ch4sk1fk1fl1.tiff,8eed1733-61fa-4902-9b6a-195623f9cacb,66,81,309,323,30
r02c02f01p01-ch4sk1fk1fl1.tiff,1de5f532-c22f-4fdb-ad5c-a570eae6f74c,72,86,388,405,34
r02c02f01p01-ch4sk1fk1fl1.tiff,aa085d14-7ce7-478f-800b-0b291390cf9a,77,94,247,259,35
r02c02f01p01-ch4sk1fk1fl1.tiff,da19618e-7993-4404-972a-e59462d71fa3,79,96,429,444,36
r02c02f01p01-ch4sk1fk1fl1.tiff,3f4d8e7f-cc95-4b04-83d9-f248dedaf5ea,82,98,374,382,37
r02c02f01p01-ch4sk1fk1fl1.tiff,eaa822c4-10a1-4e3f-85bd-459228fad2a5,75,95,74,90,38
r02c02f01p01-ch4sk1fk1fl1.tiff,9adfbbbf-aca2-4428-8ad6-92303ea74059,85,99,390,407,39
r02c02f01p01-ch4sk1fk1fl1.tiff,1a3a39fb-3bfb-4425-a87c-e87171a3564f,84,100,360,370,42
r02c02f01p01-ch4sk1fk1fl1.tiff,cf24c740-9905-4672-8854-ae18276c6376,77,99,52,67,43
r02c02f01p01-ch4sk1fk1fl1.tiff,9a2385ec-f2d3-483b-a31d-eeae6bd4dc33,85,103,110,123,44
r02c02f01p01-ch4sk1fk1fl1.tiff,5f61ca56-2c82-4aa3-822c-c716992745c2,90,103,198,212,47
r02c02f01p01-ch4sk1fk1fl1.tiff,5f148021-a0de-4222-ad0a-c3ed5d182ba8,96,114,530,543,49
r02c02f01p01-ch4sk1fk1fl1.tiff,84d577da-36b0-4ffb-a03d-399d788c695d,95,108,375,386,50
r02c02f01p01-ch4sk1fk1fl1.tiff,620b091f-bc01-4fb0-b668-fba38f299fc2,99,110,289,305,51
r02c02f01p01-ch4sk1fk1fl1.tiff,2f23135f-fd45-4e7b-97bc-26512ccc3ce8,99,116,63,81,52
r02c02f01p01-ch4sk1fk1fl1.tiff,0eeb543c-c416-403c-bf82-21812474f7b0,104,115,433,448,54
r02c02f01p01-ch4sk1fk1fl1.tiff,ab725986-0cf6-43a5-8c2d-254d831f5b6a,103,114,385,401,55
r02c02f01p01-ch4sk1fk1fl1.tiff,fe9cd404-a9f2-441d-b8d5-c9b4d3aba3b0,105,119,169,184,56
r02c02f01p01-ch4sk1fk1fl1.tiff,37137f6a-c69f-49e4-9b26-8257ed5a49ad,106,118,214,228,57
r02c02f01p01-ch4sk1fk1fl1.tiff,9a2b2f53-27db-4061-95aa-333b7c3034c5,104,120,44,59,58
r02c02f01p01-ch4sk1fk1fl1.tiff,ac8304e2-a71e-484c-b3af-9a618c5f92f2,114,126,147,159,59
r02c02f01p01-ch4sk1fk1fl1.tiff,22f98f3b-5456-41cf-b79d-914927f16313,113,125,483,500,60
r02c02f01p01-ch4sk1fk1fl1.tiff,f0ec9568-87f1-4aec-9e41-93c11ab1b505,125,141,310,325,64
r02c02f01p01-ch4sk1fk1fl1.tiff,afa54616-dae9-4baa-884c-af44d87f140b,129,145,268,284,65
r02c02f01p01-ch4sk1fk1fl1.tiff,4602aa73-f8f4-451a-a238-9c492cc88acd,133,149,19,32,66
r02c02f01p01-ch4sk1fk1fl1.tiff,122245e6-86e6-4cdf-9916-c320d31b1be7,134,148,40,55,68
r02c02f01p01-ch4sk1fk1fl1.tiff,e64dd7fe-c0d3-4aab-a21b-9f4387ce572f,134,147,191,206,69
r02c02f01p01-ch4sk1fk1fl1.tiff,ce73b6f0-2706-4c7d-aa81-3fe58a24fa3f,135,146,416,434,70
r02c02f01p01-ch4sk1fk1fl1.tiff,1414fe6b-dfc2-4ec9-8423-9d74ac88d559,136,153,235,251,71
r02c02f01p01-ch4sk1fk1fl1.tiff,1906fb0a-47b4-48c4-8b8a-a0621313d842,147,158,386,405,72
r02c02f01p01-ch4sk1fk1fl1.tiff,8478bd93-02ca-4ec1-bd1a-a84707ba1bf6,149,165,99,109,73
r02c02f01p01-ch4sk1fk1fl1.tiff,c58c6ca0-5695-448c-a40a-ec0dbf60d4ba,156,168,261,278,75
r02c02f01p01-ch4sk1fk1fl1.tiff,2c0af7b3-99a2-49da-b4c4-dfaa4d8c31f4,154,167,341,355,77
r02c02f01p01-ch4sk1fk1fl1.tiff,fed8fbca-adc5-47bb-97af-383916299d4f,165,178,400,417,80
r02c02f01p01-ch4sk1fk1fl1.tiff,4b82a6c1-a273-4445-b2e0-a03fbb1153fd,165,181,495,510,81
r02c02f01p01-ch4sk1fk1fl1.tiff,15c50453-4f86-4e67-afd1-6f5dd1a9e850,169,185,521,534,82
r02c02f01p01-ch4sk1fk1fl1.tiff,7e7c522c-8430-4654-8164-b8681e6a61b5,169,182,182,199,83
r02c02f01p01-ch4sk1fk1fl1.tiff,8a1f2cf9-7beb-4103-ace8-412a0eb6e56a,169,187,91,105,84
r02c02f01p01-ch4sk1fk1fl1.tiff,0e010251-4351-4fe0-a1e6-cb1c9c7fd6da,177,188,127,146,85
r02c02f01p01-ch4sk1fk1fl1.tiff,18fddb98-2dd1-4eb1-82c1-9f763da794f3,180,188,349,359,86
r02c02f01p01-ch4sk1fk1fl1.tiff,ba62e496-3ef6-4375-90ef-039539c31405,179,199,410,421,87
